id,mode,genre,duration,key,tempo,time_signature
Love Language ( SZA ),0,pop,183893,9,65.038,4
Low ( SZA ),0,pop,181080,0,145.044,4
As It Was ( Harry Styles ),0,pop,167303,6,173.93,4
SOS ( SZA ),0,pop,117773,7,119.159,1
Karma ( Summer Walker ),0,pop,188907,1,113.847,4
I Hate U ( SZA ),0,pop,174000,7,106.703,5
Shirt ( SZA ),0,pop,181831,3,119.959,4
Used (feat. Don Toliver) ( SZA ),0,pop,70160,10,149.579,4
Good Days ( SZA ),0,pop,279204,1,121.002,4
Blind ( SZA ),0,pop,150720,9,114.225,4
Too Many Nights (feat. Don Toliver & with Future) ( Metro Boomin ),0,hip hop,199920,7,88.048,4
Creepin' (with The Weeknd & 21 Savage) ( Metro Boomin ),0,hip hop,221520,1,97.95,4
Superhero (Heroes & Villains) [with Future & Chris Brown] ( Metro Boomin ),0,hip hop,182667,5,116.622,4
Trance (with Travis Scott & Young Thug) ( Metro Boomin ),0,hip hop,194787,1,119.497,4
White Noise ( OFFICIAL HIGE DANDISM ),0,other,254839,5,143.16,4
Hype Boy ( NewJeans ),0,pop,179027,4,99.976,4
OMG ( NewJeans ),0,pop,212253,9,126.956,4
Ditto ( NewJeans ),0,pop,185507,6,133.854,4
I'm Good (Blue) ( David Guetta ),0,other,175238,7,128.04,4
Another Love ( Tom Odell ),0,pop,244360,4,122.769,4
Under The Influence ( Chris Brown ),0,pop,184613,9,116.992,4
Sure Thing ( Miguel ),0,pop,195373,11,81.001,4
Tití Me Preguntó ( Bad Bunny ),0,other,243717,5,106.672,4
Me Porto Bonito ( Bad Bunny ),0,other,178567,1,92.005,4
Moscow Mule ( Bad Bunny ),0,other,245940,5,99.968,4
Sum 2 Prove ( Lil Baby ),0,hip hop,205760,4,124.038,4
In A Minute ( Lil Baby ),0,hip hop,200471,4,84.216,4
California Breeze ( Lil Baby ),0,hip hop,177789,5,161.734,4
Freestyle ( Lil Baby ),0,hip hop,162053,2,119.996,4
The Color Violet ( Tory Lanez ),0,hip hop,226467,6,105.02,4
Major Distribution ( Drake ),0,hip hop,170502,8,131.016,4
